片段,激动,开心
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,2.0,1.0
5,3.0,1.0
6,3.0,1.0
7,2.0,2.0
8,3.0,2.0
9,3.0,1.0
10,2.0,1.0
11,1.0,2.0
12,2.0,1.0
13,2.0,1.0
14,2.0,1.0
15,2.0,1.0
16,3.0,2.0
17,3.0,2.0
18,3.0,2.0
19,3.0,0.0
20,4.0,0.0
21,4.0,-1.0
22,4.0,0.0
23,2.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,3.0,4.0
33,3.0,3.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,2.0,1.0
38,2.0,1.0
39,3.0,2.0
40,4.0,2.0
41,3.0,3.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,0.0
46,2.0,-1.0
47,2.0,-1.0
48,2.0,-1.0
49,2.0,-2.0
50,2.0,-3.0
51,2.0,-1.0
52,2.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,0.0
58,1.0,-2.0
59,3.0,-6.0
60,4.0,-3.0
61,2.0,-3.0
62,1.0,-4.0
63,1.0,-2.0
64,1.0,-2.0
65,1.0,-1.0
66,2.0,0.0
67,2.0,0.0
68,3.0,1.0
69,2.0,1.0
70,3.0,1.0
71,4.0,1.0
72,3.0,1.0
73,3.0,1.0
74,2.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,0.0
79,1.0,-2.0
80,1.0,0.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,2.0,3.0
86,3.0,4.0
87,4.0,3.0
88,5.0,3.0
89,5.0,3.0
90,5.0,6.0
91,5.0,6.0
92,5.0,5.0
93,5.0,4.0
94,4.0,0.0
95,1.0,0.0
96,1.0,-1.0
97,2.0,-2.0
98,1.0,0.0
99,1.0,1.0
100,1.0,1.0
101,1.0,1.0
102,1.0,1.0
103,1.0,1.0
104,1.0,1.0
105,1.0,1.0
106,1.0,-1.0
107,4.0,-3.0
108,5.0,-4.0
109,4.0,-5.0
110,3.0,0.0
111,2.0,0.0
112,2.0,1.0
113,1.0,1.0
114,1.0,0.0
115,2.0,3.0
116,2.0,2.0
117,1.0,1.0
118,1.0,1.0
119,1.0,1.0
120,1.0,1.0
121,3.0,1.0
122,4.0,-3.0
123,5.0,-5.0
124,5.0,3.0
125,5.0,-4.0
126,5.0,2.0
127,5.0,1.0
128,5.0,1.0
129,5.0,1.0
130,5.0,1.0
131,6.0,5.0
132,6.0,5.0
133,6.0,5.0
134,6.0,5.0
135,3.0,2.0
136,3.0,1.0
137,4.0,-2.0
138,4.0,-2.0
139,4.0,-2.0
140,3.0,-2.0
141,3.0,-2.0
142,4.0,-5.0
143,5.0,-3.0
144,4.0,-3.0
145,4.0,-2.0
146,4.0,-2.0
147,5.0,2.0
148,4.0,-3.0
149,4.0,1.0
150,3.0,1.0
151,3.0,3.0
152,4.0,3.0
153,5.0,4.0
154,6.0,-5.0
155,6.0,-7.0
156,7.0,-2.0
157,7.0,-2.0
158,8.0,-2.0
159,8.0,-3.0
160,8.0,-3.0
161,8.0,0.0
162,8.0,-6.0
163,9.0,5.0
164,9.0,6.0
165,8.0,7.0
166,8.0,7.0
167,8.0,9.0
168,9.0,7.0
169,7.0,7.0
170,8.0,8.0
171,8.0,7.0
172,8.0,7.0
173,8.0,7.0
174,8.0,-7.0
175,5.0,-7.0
176,4.0,5.0
177,4.0,5.0
178,4.0,4.0
179,4.0,4.0
180,1.0,1.0
181,1.0,1.0

