时段,激动,开心
1,1.0,2.0
2,1.0,2.0
3,2.0,4.0
4,2.0,5.0
5,2.0,3.0
6,2.0,-1.0
7,1.0,0.0
8,1.0,2.0
9,0.0,0.0
10,1.0,0.0
11,2.0,-1.0
12,2.0,2.0
13,1.0,-1.0
14,3.0,-2.0
15,3.0,1.0
16,3.0,2.0
17,3.0,2.0
18,4.0,3.0
19,4.0,3.0
20,4.0,-1.0
21,5.0,-2.0
22,5.0,-2.0
23,3.0,0.0
24,0.0,0.0
25,0.0,1.0
26,0.0,1.0
27,1.0,4.0
28,0.0,2.0
29,0.0,1.0
30,0.0,0.0
31,0.0,0.0
32,1.0,-1.0
33,2.0,2.0
34,2.0,2.0
35,2.0,2.0
36,2.0,2.0
37,2.0,2.0
38,0.0,-1.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,1.0,-1.0
44,1.0,-1.0
45,1.0,-3.0
46,0.0,-2.0
47,0.0,-2.0
48,0.0,-2.0
49,0.0,-2.0
50,0.0,-2.0
51,0.0,-2.0
52,0.0,-1.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,-1.0
58,0.0,-2.0
59,2.0,-5.0
60,4.0,-2.0
61,1.0,-2.0
62,1.0,-4.0
63,1.0,-4.0
64,1.0,-2.0
65,2.0,-2.0
66,2.0,0.0
67,2.0,0.0
68,2.0,0.0
69,2.0,0.0
70,4.0,0.0
71,4.0,0.0
72,2.0,0.0
73,2.0,0.0
74,2.0,0.0
75,2.0,0.0
76,1.0,0.0
77,1.0,1.0
78,1.0,0.0
79,2.0,-1.0
80,1.0,1.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,4.0,3.0
86,4.0,3.0
87,4.0,3.0
88,4.0,3.0
89,4.0,3.0
90,4.0,5.0
91,4.0,5.0
92,4.0,3.0
93,4.0,3.0
94,4.0,3.0
95,1.0,0.0
96,2.0,0.0
97,2.0,0.0
98,2.0,-2.0
99,0.0,0.0
100,0.0,1.0
101,1.0,0.0
102,1.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,1.0,-2.0
107,4.0,-3.0
108,5.0,-5.0
109,4.0,-4.0
110,2.0,0.0
111,2.0,0.0
112,1.0,1.0
113,1.0,0.0
114,1.0,0.0
115,2.0,3.0
116,2.0,0.0
117,2.0,0.0
118,2.0,0.0
119,1.0,0.0
120,1.0,0.0
121,3.0,0.0
122,4.0,-2.0
123,5.0,-5.0
124,5.0,2.0
125,5.0,-3.0
126,5.0,2.0
127,5.0,1.0
128,5.0,2.0
129,5.0,1.0
130,5.0,1.0
131,6.0,6.0
132,6.0,6.0
133,6.0,3.0
134,6.0,5.0
135,2.0,0.0
136,2.0,0.0
137,4.0,-1.0
138,5.0,-3.0
139,4.0,-3.0
140,4.0,-3.0
141,3.0,-3.0
142,3.0,-5.0
143,4.0,-3.0
144,4.0,-5.0
145,3.0,-2.0
146,4.0,-3.0
147,5.0,1.0
148,4.0,-3.0
149,4.0,1.0
150,2.0,2.0
151,3.0,2.0
152,4.0,4.0
153,4.0,4.0
154,5.0,4.0
155,6.0,-5.0
156,6.0,-8.0
157,7.0,-2.0
158,8.0,-2.0
159,8.0,1.0
160,8.0,-2.0
161,8.0,-3.0
162,8.0,1.0
163,8.0,-5.0
164,9.0,5.0
165,8.0,5.0
166,8.0,6.0
167,9.0,6.0
168,10.0,10.0
169,8.0,8.0
170,8.0,8.0
171,8.0,8.0
172,7.0,6.0
173,7.0,6.0
174,8.0,-8.0
175,5.0,-7.0
176,5.0,4.0
177,5.0,4.0
178,4.0,3.0
179,4.0,5.0
180,2.0,2.0
181,2.0,2.0

